事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/30,,野菜コロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/31,,ソーセージ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（豚）,,,,,,,設定なし,,197.6,10.8,13.92,7.44,1.52,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/30,,ハヤシオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,107.4,6.18,4.84,9.58,1.02,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/31,,厚焼き玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,104.55,5.595,5.575,8.25,0.675,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/30,,セサミチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,設定なし,ごま,夏,設定なし,洋,,設定なし,,166.738,25.791,7.627,0.556,0.915,,,,,,,,,,,,,CTM/attachment/2016042111103923100d92794-7175-47e1-9073-bceda4e56c96/ごまさるさ
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/31,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,,98.54,5.06,4.7,9.962,1.71,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/30,,ササミ磯辺フライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,味噌,その他,,,その他,,パート事業所向けレシピ,,284.51,27.92,12.581,12.72,0.805,,,,,,○,○,○,,○,○,,CTM/attachment/20160408144046747d9a3fc3d-8c70-4eb6-8c4d-2626efd65dd1/97000073-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/31,,照り焼き豚のねぎおろしのせ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,醤油,その他,,,和,,,,458.8,14.77,36.54,15.3,1.77,,,,,,,,○,,,,,CTM/attachment/20160421165124386d604d50e-2dfa-444e-8018-7e0dd1542363/10010326-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/1/30,,さわらの葱味噌バター焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,,,,,251.322,19.466,15.809,5.628,1.628,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/1/31,,カジキメンチカツタルタルソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,,,,,,,,,289.9,6.77,20.03,21.16,0.72,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,丼,2023/1/30,,豚焼肉丼,,300,,本登録,通常レシピ,全社レシピ,ご飯もの,丼物・ごはんもの,肉（豚）,醤油,その他,,,和,,,,729.96,20.785,21.105,109.37,2.02,,,,,,,,○,,,,,CTM/attachment/20160421165124386d604d50e-2dfa-444e-8018-7e0dd1542363/10010326-2
1140-00,豊橋技術科学大学 食堂,昼食,丼,2023/1/31,,麻婆茄子丼,,300,,本登録,通常レシピ,本部レシピ,ご飯もの,炒物,野菜,醤油,ピリ辛,,,中華,,設定なし,,701.975,18.986,20.756,107.557,1.864,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/1/30,,塩ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,塩,その他,,,中華,,,,361.65,32.41,11.205,62.475,8.465,,,,,,,,○,,○,○,,CTM/attachment/20160407155023220bc060e36-c80c-4499-856c-152cef26fec3/15111144-5
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/1/31,,カレーラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,その他,カレー,,,中華,,,,658.567,41.009,32.199,77.347,7.969,,,,,,,,○,,○,○,,CTM/attachment/201604071612478061e0c01b5-af07-4e9b-9eaa-6beda8027a35/15111144-37
